product_name_lenght|product_description_lenght|product_photos_qty|review_score
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
53.0|236.0|2.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
63.0|628.0|3.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|3
56.0|176.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
56.0|176.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
42.0|431.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|549.0|2.0|5
54.0|245.0|1.0|1
60.0|259.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|1
56.0|111.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|1
57.0|293.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|3
32.0|1060.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|4
56.0|176.0|1.0|4
54.0|245.0|1.0|4
56.0|176.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|1
56.0|176.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|1
56.0|176.0|1.0|3
56.0|176.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
58.0|1161.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|1
56.0|111.0|1.0|1
63.0|686.0|1.0|1
54.0|245.0|1.0|1
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
56.0|176.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|2
54.0|245.0|1.0|2
54.0|245.0|1.0|5
56.0|255.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|1
56.0|176.0|1.0|5
56.0|176.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|2
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|3
56.0|176.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|4
53.0|236.0|2.0|4
52.0|235.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
55.0|185.0|2.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|1
47.0|537.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
56.0|176.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|1
53.0|236.0|2.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
56.0|176.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
56.0|176.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
56.0|1009.0|2.0|3
54.0|245.0|1.0|1
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|2
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|2
54.0|245.0|1.0|2
60.0|188.0|1.0|2
57.0|188.0|1.0|2
54.0|245.0|1.0|4
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
56.0|176.0|1.0|5
53.0|236.0|2.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|2
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|5
40.0|911.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
59.0|349.0|2.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
56.0|176.0|1.0|3
54.0|245.0|1.0|3
54.0|245.0|1.0|1
54.0|245.0|1.0|5
56.0|176.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
56.0|176.0|1.0|4
54.0|245.0|1.0|5
53.0|236.0|2.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|2
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|1
56.0|255.0|1.0|1
56.0|255.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|4
56.0|176.0|1.0|4
53.0|236.0|2.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|4
54.0|245.0|1.0|4
54.0|245.0|1.0|5
54.0|245.0|1.0|1
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|3
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
54.0|245.0|1.0|5
56.0|176.0|1.0|5
56.0|255.0|1.0|5
54.0|245.0|1.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|600.0|1.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
58.0|340.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
58.0|340.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|1
57.0|366.0|2.0|2
57.0|366.0|2.0|5
57.0|366.0|2.0|1
58.0|340.0|2.0|1
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|3
57.0|366.0|2.0|4
58.0|340.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|3
58.0|340.0|2.0|3
57.0|339.0|2.0|3
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
56.0|348.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
59.0|341.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|2
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
59.0|341.0|2.0|5
58.0|340.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|2
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|2
54.0|1413.0|5.0|2
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|339.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|1
50.0|422.0|7.0|1
57.0|366.0|2.0|5
57.0|339.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|346.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
37.0|335.0|4.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
60.0|2260.0|3.0|1
57.0|366.0|2.0|5
59.0|341.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
59.0|341.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
40.0|569.0|1.0|1
57.0|366.0|2.0|1
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
59.0|341.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|3
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|2
58.0|3006.0|2.0|2
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
59.0|341.0|2.0|5
58.0|340.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|2
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|2
53.0|646.0|1.0|2
52.0|252.0|1.0|2
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|3
57.0|366.0|2.0|1
57.0|366.0|2.0|2
57.0|339.0|2.0|1
57.0|339.0|2.0|2
56.0|348.0|2.0|1
56.0|348.0|2.0|2
57.0|366.0|2.0|5
57.0|366.0|2.0|3
52.0|1197.0|1.0|3
57.0|366.0|2.0|4
57.0|366.0|2.0|3
57.0|366.0|2.0|5
57.0|366.0|2.0|4
57.0|366.0|2.0|1
58.0|340.0|2.0|1
57.0|366.0|2.0|4
59.0|341.0|2.0|4
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|5
57.0|366.0|2.0|1
57.0|366.0|2.0|4
56.0|1392.0|4.0|5
56.0|1392.0|4.0|4
56.0|1381.0|4.0|4
37.0|1172.0|2.0|4
43.0|116.0|1.0|1
43.0|116.0|1.0|4
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|4
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|1
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|5
43.0|116.0|1.0|4
43.0|116.0|1.0|5
58.0|2584.0|1.0|5
58.0|2584.0|1.0|5
58.0|2584.0|1.0|5
58.0|2584.0|1.0|5
51.0|693.0|3.0|3
51.0|693.0|3.0|3
51.0|693.0|3.0|5
51.0|693.0|3.0|5
51.0|693.0|3.0|1
60.0|644.0|1.0|1
51.0|693.0|3.0|5
51.0|693.0|3.0|3
51.0|693.0|3.0|4
51.0|693.0|3.0|5
51.0|693.0|3.0|5
51.0|693.0|3.0|1
51.0|693.0|3.0|5
51.0|693.0|3.0|3
51.0|693.0|3.0|1
59.0|621.0|4.0|1
51.0|693.0|3.0|3
51.0|693.0|3.0|5
51.0|693.0|3.0|5
51.0|693.0|3.0|2
51.0|693.0|3.0|5
38.0|735.0|5.0|3
38.0|735.0|5.0|5
38.0|735.0|5.0|5
38.0|735.0|5.0|5
